Predicted_Productivity,Predicted_Communication,Predicted_Leadership,Predicted_Learning,Predicted_Collaboration,Overall_Behavior_Score,Overall_Behavior_Level
90.0,53.88,52.52,67.41,77.32,68.23,Moderate
90.0,47.52,64.9,81.14,90.38,74.79,High
60.0,52.66,35.0,44.69,63.98,51.27,Moderate
60.0,47.54,29.82,63.25,75.47,55.22,Moderate
100.0,53.86,69.9,73.3,97.58,78.93,High
50.0,60.0,22.45,10.56,54.03,39.41,Low
80.0,49.38,47.5,59.65,80.65,63.44,Moderate
100.0,59.39,75.45,93.41,99.15,85.48,High
50.0,47.51,24.98,53.71,47.6,44.76,Moderate
30.0,65.06,10.0,5.72,36.3,29.42,Low
90.0,56.96,64.97,74.92,89.49,75.27,High
70.0,61.62,40.0,55.35,71.4,59.67,Moderate
100.0,58.26,72.55,99.51,99.0,85.86,High
40.0,58.72,22.42,38.92,53.29,42.67,Moderate
70.0,44.99,47.5,70.45,79.71,62.53,Moderate
90.0,52.3,67.75,72.51,90.38,74.59,High
80.0,46.58,52.52,77.18,83.3,67.92,Moderate
50.0,62.55,35.0,48.94,63.64,52.03,Moderate
80.0,57.48,50.0,76.19,90.13,70.76,High
100.0,56.76,69.92,82.62,98.81,81.62,High
