employee_id,institution,date_of_birth,gender,age_group,job_role,years_of_experience,department,language_proficiency,ethnicity,educational_institute,punctuality,problem_solving,leadership,collaboration,communication,deadline_adherence_rate,adherence_level,avg_response_time,response_time_level,no_of_meetings_attended,no_of_subordinates,decision_contribution,learning_hours_per_month,type_of_learning,team_engagement_frequency,completed_storypoint_ratio,completed_story_points,assigned_story_points,project_id,project_name,duration_weeks,relative_effort,team_size,project_complexity,rework_count,no_pay_leave,blockers,metric_1_name,metric_1_value,metric_2_name,metric_2_value,metric_3_name,metric_3_value,metric_4_name,metric_4_value,metric_5_name,metric_5_value,metric_6_name,metric_6_value,metric_7_name,metric_7_value
1,Company_J,2001-10-01,Female,20-25,Software Engineer,3,Development,Sinhala,Sinhala,University_J,2,5,5,1,5,32.16,1,4.07,1,39,6,2,30,Online courses / certifications,5,0.83,84,101,1,Logistics Dashboard,9,352,8,1.29,0,3,1,tasks_assigned,21,tasks_completed,20,tasks_on_time,0,bug_count,17,bugs_fixed_count,6,code_quality (1-10),7,rework_count,5
2,Company_F,2001-11-18,Male,20-25,Project Manager,3,Project Management,Sinhala,Muslim,University_G,3,1,2,1,4,92.22,4,4,1,28,2,3,24,None observed,4,0.71,81,114,7,Payroll Automation,22,474,12,6.57,2,9,1,tasks_assigned,27,tasks_completed,3,tasks_on_time,0,bug_count,7,bugs_fixed_count,4,code_quality (1-10),10,rework_count,1
3,Company_G,1986-11-27,Female,36-40,QA Engineer,18,QA,Tamil,Tamil,University_U,3,2,2,5,5,95.52,5,3.72,1,30,5,2,10,Formal training,9,0.93,96,103,2,ERP Integration Module,21,83,5,9.22,4,5,1,tasks_completed,16,project_delay (days),12,changing_relative_effort,167,sprint_velocity,19,team_velocity,36,stakeholder_satisfaction(1-5),2,milestone_completion_rate,4
4,Company_I,2000-08-27,Male,20-25,DevOps Engineer,4,DevOps,Tamil,Tamil,University_Q,5,2,2,3,2,95.56,5,4.78,3,38,0,5,22,Research & innovation,3,0.49,49,99,10,Government Tax Portal,4,398,13,2.03,4,4,5,tasks_completed,11,project_delay (days),3,changing_relative_effort,125,sprint_velocity,37,team_velocity,30,stakeholder_satisfaction(1-5),3,milestone_completion_rate,5
5,Company_I,2003-01-05,Female,20-25,Project Manager,1,Project Management,Sinhala,Sinhala,University_M,3,1,5,5,2,73.54,3,0.54,2,8,3,1,4,Online courses / certifications,8,0.56,58,104,12,Fleet Management System,7,173,11,9.52,0,7,0,tasks_assigned,29,tasks_completed,18,tasks_on_time,4,bug_count,4,bugs_fixed_count,3,code_quality (1-10),10,rework_count,1
6,Company_T,1996-09-23,Male,26-30,Project Manager,8,Project Management,Sinhala,Muslim,University_D,2,4,2,3,4,74.33,3,5.58,1,33,8,1,5,Online courses / certifications,3,0.68,70,103,3,Insurance Claims Platform,41,162,2,1.64,5,0,1,tasks_completed,3,project_delay (days),28,changing_relative_effort,58,sprint_velocity,31,team_velocity,24,stakeholder_satisfaction(1-5),3,milestone_completion_rate,2
7,Company_P,1986-08-20,Male,36-40,Project Manager,18,Project Management,Tamil,Muslim,University_A,1,5,1,2,1,95.58,5,4.21,2,20,6,1,38,Online courses / certifications,8,0.88,22,25,11,Telecom Billing System,16,147,10,5.04,3,2,2,tasks_completed,15,project_delay (days),7,changing_relative_effort,69,sprint_velocity,38,team_velocity,71,stakeholder_satisfaction(1-5),4,milestone_completion_rate,3
8,Company_G,1992-04-11,Male,31-35,DevOps Engineer,12,DevOps,English,Sinhala,University_D,5,3,5,5,1,90.7,4,3.55,3,11,2,3,9,Formal training,2,0.79,54,68,4,Loan Origination System,17,79,11,7.62,0,5,0,tasks_completed,2,project_delay (days),18,changing_relative_effort,172,sprint_velocity,42,team_velocity,78,stakeholder_satisfaction(1-5),4,milestone_completion_rate,2
9,Company_G,1992-07-15,Male,31-35,DevOps Engineer,12,DevOps,Tamil,Muslim,University_A,4,2,1,3,3,99.73,5,4.88,1,7,5,2,17,Formal training,4,0.86,24,28,4,Loan Origination System,33,211,14,9.42,0,7,4,total_deployments,19,successful_deployments,3,deployment_time_efficiency,0.35,incident_count,3,system_downtime (hrs),24.3,automated_pipeline_stages,3,total_pipeline_stages,8
10,Company_D,1996-08-11,Male,26-30,Software Engineer,8,Development,English,Tamil,University_M,1,3,3,5,4,95.16,5,5.14,2,26,0,1,18,Research & innovation,9,0.64,74,115,5,Hospital Information System,47,374,15,3.38,3,4,0,tasks_assigned,7,tasks_completed,6,tasks_on_time,3,bug_count,8,bugs_fixed_count,0,code_quality (1-10),1,rework_count,1
