Productivity,Communication,Leadership,Learning,Collaboration,Productivity_Level,Communication_Level,Leadership_Level,Learning_Level,Collaboration_Level,Overall_Behavior_Score,Overall_Behavior_Level
30.0,58.75,35.0,82.5,66.5,Low,Moderate,Low,High,Moderate,54.55,Moderate
70.0,45.0,35.0,30.0,55.5,High,Moderate,Low,Low,Moderate,47.1,Moderate
80.0,47.5,32.5,55.0,91.5,High,Moderate,Low,Moderate,High,61.3,Moderate
100.0,77.5,50.0,77.5,39.5,High,High,Moderate,High,Low,68.9,Moderate
60.0,30.0,17.5,50.0,68.0,Moderate,Low,Low,Moderate,Moderate,45.1,Moderate
50.0,51.25,30.0,51.25,49.0,Moderate,Moderate,Low,Moderate,Moderate,46.3,Moderate
60.0,45.0,25.0,92.5,84.0,Moderate,Moderate,Low,High,High,61.3,Moderate
90.0,43.75,35.0,53.75,49.5,High,Moderate,Low,Moderate,Moderate,54.4,Moderate
90.0,18.75,32.5,63.75,63.0,High,Low,Low,Moderate,Moderate,53.6,Moderate
60.0,52.5,10.0,72.5,77.0,Moderate,Moderate,Low,High,High,54.4,Moderate
60.0,40.0,65.0,2.5,63.5,Moderate,Moderate,Moderate,Low,Moderate,46.2,Moderate
50.0,33.75,35.0,16.25,85.0,Moderate,Low,Low,Low,High,44.0,Moderate
60.0,72.5,42.5,65.0,76.5,Moderate,High,Moderate,Moderate,High,63.3,Moderate
80.0,72.5,15.0,57.5,75.0,High,High,Low,Moderate,High,60.0,Moderate
40.0,76.25,35.0,7.5,78.5,Moderate,High,Low,Low,High,47.45,Moderate
70.0,52.5,72.5,70.0,38.5,High,Moderate,High,High,Low,60.7,Moderate
80.0,76.25,17.5,60.0,55.0,High,High,Low,Moderate,Moderate,57.75,Moderate
70.0,25.0,42.5,71.25,34.5,High,Low,Moderate,High,Low,48.65,Moderate
100.0,68.75,20.0,70.0,47.5,High,Moderate,Low,High,Moderate,61.25,Moderate
50.0,77.5,32.5,66.25,39.0,Moderate,High,Low,Moderate,Low,53.05,Moderate
60.0,71.25,20.0,73.75,58.0,Moderate,High,Low,High,Moderate,56.6,Moderate
40.0,26.25,40.0,93.75,63.0,Moderate,Low,Moderate,High,Moderate,52.6,Moderate
80.0,36.25,62.5,63.75,44.0,High,Low,Moderate,Moderate,Moderate,57.3,Moderate
60.0,86.25,42.5,91.25,94.5,Moderate,High,Moderate,High,High,74.9,High
20.0,31.25,52.5,62.5,59.5,Low,Low,Moderate,Moderate,Moderate,45.15,Moderate
50.0,56.25,62.5,31.25,66.5,Moderate,Moderate,Moderate,Low,Moderate,53.3,Moderate
100.0,45.0,22.5,66.25,86.5,High,Moderate,Low,Moderate,High,64.05,Moderate
40.0,40.0,45.0,86.25,87.0,Moderate,Moderate,Moderate,High,High,59.65,Moderate
100.0,90.0,12.5,88.75,75.5,High,High,Low,High,High,73.35,High
30.0,47.5,65.0,70.0,32.0,Low,Moderate,Moderate,High,Low,48.9,Moderate
30.0,61.25,72.5,38.75,82.5,Low,Moderate,High,Low,High,57.0,Moderate
70.0,53.75,42.5,47.5,85.0,High,Moderate,Moderate,Moderate,High,59.75,Moderate
50.0,57.5,17.5,48.75,86.0,Moderate,Moderate,Low,Moderate,High,51.95,Moderate
30.0,72.5,72.5,47.5,34.0,Low,High,High,Moderate,Low,51.3,Moderate
80.0,67.5,42.5,76.25,66.5,High,Moderate,Moderate,High,Moderate,66.55,Moderate
90.0,70.0,42.5,87.5,78.0,High,High,Moderate,High,High,73.6,High
40.0,50.0,22.5,87.5,83.0,Moderate,Moderate,Low,High,High,56.6,Moderate
60.0,65.0,72.5,53.75,42.5,Moderate,Moderate,High,Moderate,Moderate,58.75,Moderate
60.0,82.5,30.0,62.5,89.5,Moderate,High,Low,Moderate,High,64.9,Moderate
30.0,81.25,55.0,68.75,55.0,Low,High,Moderate,Moderate,Moderate,58.0,Moderate
50.0,47.5,17.5,46.25,57.0,Moderate,Moderate,Low,Moderate,Moderate,43.65,Moderate
40.0,52.5,40.0,38.75,66.0,Moderate,Moderate,Moderate,Low,Moderate,47.45,Moderate
70.0,47.5,55.0,95.0,66.5,High,Moderate,Moderate,High,Moderate,66.8,Moderate
50.0,35.0,27.5,73.75,92.0,Moderate,Low,Low,High,High,55.65,Moderate
80.0,65.0,45.0,40.0,100.0,High,Moderate,Moderate,Moderate,High,66.0,Moderate
30.0,77.5,52.5,98.75,41.0,Low,High,Moderate,High,Moderate,59.95,Moderate
30.0,68.75,70.0,90.0,53.5,Low,Moderate,High,High,Moderate,62.45,Moderate
60.0,63.75,35.0,35.0,60.0,Moderate,Moderate,Low,Low,Moderate,50.75,Moderate
70.0,52.5,75.0,62.5,56.0,High,Moderate,High,Moderate,Moderate,63.2,Moderate
60.0,22.5,25.0,58.75,64.0,Moderate,Low,Low,Moderate,Moderate,46.05,Moderate
50.0,73.75,40.0,56.25,30.5,Moderate,High,Moderate,Moderate,Low,50.1,Moderate
40.0,61.25,30.0,7.5,71.0,Moderate,Moderate,Low,Low,High,41.95,Moderate
50.0,45.0,40.0,33.75,42.0,Moderate,Moderate,Moderate,Low,Moderate,42.15,Moderate
90.0,86.25,50.0,80.0,90.0,High,High,Moderate,High,High,79.25,High
30.0,62.5,20.0,63.75,35.5,Low,Moderate,Low,Moderate,Low,42.35,Moderate
80.0,55.0,67.5,71.25,96.0,High,Moderate,Moderate,High,High,73.95,High
30.0,58.75,20.0,42.5,86.0,Low,Moderate,Low,Moderate,High,47.45,Moderate
80.0,73.75,57.5,85.0,60.0,High,High,Moderate,High,Moderate,71.25,High
20.0,47.5,55.0,37.5,89.0,Low,Moderate,Moderate,Low,High,49.8,Moderate
90.0,22.5,72.5,77.5,78.0,High,Low,High,High,High,68.1,Moderate
40.0,62.5,65.0,62.5,67.5,Moderate,Moderate,Moderate,Moderate,Moderate,59.5,Moderate
50.0,51.25,67.5,40.0,84.5,Moderate,Moderate,Moderate,Moderate,High,58.65,Moderate
70.0,22.5,22.5,75.0,69.0,High,Low,Low,High,Moderate,51.8,Moderate
50.0,57.5,52.5,10.0,68.0,Moderate,Moderate,Moderate,Low,Moderate,47.6,Moderate
90.0,50.0,40.0,86.25,48.0,High,Moderate,Moderate,High,Moderate,62.85,Moderate
90.0,85.0,30.0,72.5,40.0,High,High,Low,High,Moderate,63.5,Moderate
100.0,50.0,30.0,47.5,64.0,High,Moderate,Low,Moderate,Moderate,58.3,Moderate
80.0,85.0,22.5,5.0,92.5,High,High,Low,Low,High,57.0,Moderate
60.0,52.5,42.5,50.0,56.5,Moderate,Moderate,Moderate,Moderate,Moderate,52.3,Moderate
70.0,78.75,30.0,68.75,45.5,High,High,Low,Moderate,Moderate,58.6,Moderate
50.0,56.25,27.5,95.0,32.5,Moderate,Moderate,Low,High,Low,52.25,Moderate
40.0,31.25,57.5,85.0,46.0,Moderate,Low,Moderate,High,Moderate,51.95,Moderate
70.0,70.0,57.5,5.0,76.0,High,High,Moderate,Low,High,55.7,Moderate
20.0,47.5,20.0,5.0,86.0,Low,Moderate,Low,Low,High,35.7,Low
70.0,32.5,47.5,76.25,83.0,High,Low,Moderate,High,High,61.85,Moderate
60.0,61.25,47.5,57.5,85.0,Moderate,Moderate,Moderate,Moderate,High,62.25,Moderate
50.0,87.5,57.5,41.25,43.5,Moderate,High,Moderate,Moderate,Moderate,55.95,Moderate
90.0,47.5,42.5,91.25,40.0,High,Moderate,Moderate,High,Moderate,62.25,Moderate
70.0,53.75,57.5,46.25,53.0,High,Moderate,Moderate,Moderate,Moderate,56.1,Moderate
70.0,58.75,55.0,82.5,38.5,High,Moderate,Moderate,High,Low,60.95,Moderate
50.0,65.0,12.5,78.75,78.0,Moderate,Moderate,Low,High,High,56.85,Moderate
90.0,43.75,32.5,75.0,43.0,High,Moderate,Low,High,Moderate,56.85,Moderate
60.0,72.5,50.0,86.25,72.0,Moderate,High,Moderate,High,High,68.15,Moderate
70.0,63.75,35.0,75.0,66.5,High,Moderate,Low,High,Moderate,62.05,Moderate
50.0,83.75,72.5,75.0,97.5,Moderate,High,High,High,High,75.75,High
40.0,66.25,55.0,91.25,38.0,Moderate,Moderate,Moderate,High,Low,58.1,Moderate
