Punctuality (1-5),Adherence Level,Response Time Level,No. of Meetings Attended,No. of Subordinates,Decision Contribution (1-5),Learning Hours / Month,Type of Learning,Team Engagement Frequency,Completed Storypoint Ratio
2.0,1.0,1.0,39.0,6.0,2.0,30.0,Online courses / certifications,5.0,0.83
3.0,4.0,1.0,28.0,2.0,3.0,24.0,None observed,4.0,0.71
3.0,5.0,1.0,30.0,5.0,2.0,10.0,Formal training,9.0,0.93
5.0,5.0,3.0,38.0,0.0,5.0,22.0,Research & innovation,3.0,0.49
3.0,3.0,2.0,8.0,3.0,1.0,4.0,Online courses / certifications,8.0,0.56
2.0,3.0,1.0,33.0,8.0,1.0,5.0,Online courses / certifications,3.0,0.68
1.0,5.0,2.0,20.0,6.0,1.0,38.0,Online courses / certifications,8.0,0.88
5.0,4.0,3.0,11.0,2.0,3.0,9.0,Formal training,2.0,0.79
4.0,5.0,1.0,7.0,5.0,2.0,17.0,Formal training,4.0,0.86
1.0,5.0,2.0,26.0,0.0,1.0,18.0,Research & innovation,9.0,0.64
5.0,1.0,1.0,24.0,6.0,5.0,2.0,None observed,8.0,0.47
4.0,1.0,2.0,11.0,6.0,2.0,13.0,None observed,9.0,0.8
3.0,3.0,5.0,18.0,1.0,4.0,28.0,Self-learning,8.0,0.73
4.0,4.0,3.0,34.0,2.0,1.0,18.0,Knowledge sharing,9.0,0.6
1.0,3.0,4.0,29.0,6.0,2.0,6.0,None observed,6.0,0.97
3.0,4.0,1.0,34.0,9.0,5.0,26.0,On-the-job learning,2.0,0.57
3.0,5.0,5.0,21.0,3.0,1.0,14.0,Formal training,1.0,1.0
4.0,3.0,1.0,12.0,1.0,4.0,33.0,Self-learning,3.0,0.39
5.0,5.0,4.0,23.0,0.0,2.0,20.0,Online courses / certifications,1.0,0.85
3.0,2.0,5.0,22.0,9.0,1.0,13.0,Research & innovation,4.0,0.38
4.0,2.0,3.0,33.0,0.0,2.0,19.0,Research & innovation,2.0,0.96
2.0,2.0,2.0,5.0,4.0,3.0,39.0,Online courses / certifications,5.0,0.76
