Productivity,Communication,Leadership,Learning,Collaboration
30.0,58.75,35.0,82.5,66.5
70.0,45.0,35.0,30.0,55.5
80.0,47.5,32.5,55.0,91.5
100.0,77.5,50.0,77.5,39.5
60.0,30.0,17.5,50.0,68.0
50.0,51.25,30.0,51.25,49.0
60.0,45.0,25.0,92.5,84.0
90.0,43.75,35.0,53.75,49.5
90.0,18.75,32.5,63.75,63.0
60.0,52.5,10.0,72.5,77.0
60.0,40.0,65.0,2.5,63.5
50.0,33.75,35.0,16.25,85.0
60.0,72.5,42.5,65.0,76.5
80.0,72.5,15.0,57.5,75.0
40.0,76.25,35.0,7.5,78.5
70.0,52.5,72.5,70.0,38.5
80.0,76.25,17.5,60.0,55.0
70.0,25.0,42.5,71.25,34.5
100.0,68.75,20.0,70.0,47.5
50.0,77.5,32.5,66.25,39.0
60.0,71.25,20.0,73.75,58.0
40.0,26.25,40.0,93.75,63.0
80.0,36.25,62.5,63.75,44.0
60.0,86.25,42.5,91.25,94.5
20.0,31.25,52.5,62.5,59.5
50.0,56.25,62.5,31.25,66.5
100.0,45.0,22.5,66.25,86.5
40.0,40.0,45.0,86.25,87.0
100.0,90.0,12.5,88.75,75.5
30.0,47.5,65.0,70.0,32.0
30.0,61.25,72.5,38.75,82.5
70.0,53.75,42.5,47.5,85.0
50.0,57.5,17.5,48.75,86.0
30.0,72.5,72.5,47.5,34.0
80.0,67.5,42.5,76.25,66.5
90.0,70.0,42.5,87.5,78.0
40.0,50.0,22.5,87.5,83.0
60.0,65.0,72.5,53.75,42.5
60.0,82.5,30.0,62.5,89.5
30.0,81.25,55.0,68.75,55.0
50.0,47.5,17.5,46.25,57.0
40.0,52.5,40.0,38.75,66.0
70.0,47.5,55.0,95.0,66.5
50.0,35.0,27.5,73.75,92.0
80.0,65.0,45.0,40.0,100.0
30.0,77.5,52.5,98.75,41.0
30.0,68.75,70.0,90.0,53.5
60.0,63.75,35.0,35.0,60.0
70.0,52.5,75.0,62.5,56.0
60.0,22.5,25.0,58.75,64.0
50.0,73.75,40.0,56.25,30.5
40.0,61.25,30.0,7.5,71.0
50.0,45.0,40.0,33.75,42.0
90.0,86.25,50.0,80.0,90.0
30.0,62.5,20.0,63.75,35.5
80.0,55.0,67.5,71.25,96.0
30.0,58.75,20.0,42.5,86.0
80.0,73.75,57.5,85.0,60.0
20.0,47.5,55.0,37.5,89.0
90.0,22.5,72.5,77.5,78.0
40.0,62.5,65.0,62.5,67.5
50.0,51.25,67.5,40.0,84.5
70.0,22.5,22.5,75.0,69.0
50.0,57.5,52.5,10.0,68.0
90.0,50.0,40.0,86.25,48.0
90.0,85.0,30.0,72.5,40.0
100.0,50.0,30.0,47.5,64.0
80.0,85.0,22.5,5.0,92.5
60.0,52.5,42.5,50.0,56.5
70.0,78.75,30.0,68.75,45.5
50.0,56.25,27.5,95.0,32.5
40.0,31.25,57.5,85.0,46.0
